Ticket ID,Open Time,Open Price,Close Time,Close Price,Profit,Lots,Commission,Swap,Symbol,Type,SL,TP,Pips,Reason,Volume
30194467,2024.06.11 16:42:33,1.07274,2024-06-11 16:47:22,1.07238,1152,32,-96,0,EURUSD,Sell,1.073,1.0724,36.000000,4,3200
30087526,2024.06.11 15:40:40,1.07338,2024-06-11 16:17:34,1.07263,1425,19,-57,0,EURUSD,Sell,1.0739,1.0726,75.000000,4,1900
29665113,2024.06.10 14:21:20,1.07453,2024-06-10 14:47:09,1.07506,-1037,17,-51,0,EURUSD,Sell,1.0751,1.0737,-61.000000,3,1700
28731470,2024.06.06 11:25:14,1.08754,2024-06-06 11:38:57,1.08714,1271,31,-93,0,EURUSD,Sell,1.0878,1.0871,41.000000,4,3100
28344279,2024.06.05 14:42:31,1.08655,2024-06-05 14:56:16,1.08688,-1290,30,-90,0,EURUSD,Sell,1.0869,1.0862,-43.000000,3,3000
27943810,2024.06.04 15:00:09,1.08649,2024-06-04 15:14:11,1.08692,-1219,23,-69,0,EURUSD,Sell,1.0869,1.0859,-53.000000,3,2300
27486264,2024.06.03 15:46:03,1.08443,2024-06-03 16:03:54,1.08479,1332,37,-111,0,EURUSD,Buy,1.0842,1.0848,36.000000,4,3700
26747096,2024.05.30 18:00:41,1.084,2024-05-30 18:28:52,1.0845,1275,25,-75,0,EURUSD,Buy,1.0836,1.0845,51.000000,4,2500
25995029,2024.05.29 10:30:40,1.0855,2024-05-29 10:42:03,1.0852,-990,33,-99,0,EURUSD,Buy,1.0852,1.0859,-30.000000,3,3300
25767821,2024.05.28 17:24:46,1.08676,2024-05-28 17:43:46,1.08716,-780,20,-60,0,EURUSD,Sell,1.0871,1.0861,-39.000000,3,2000
25604363,2024.05.28 15:02:05,1.08803,2024-05-28 15:23:07,1.08777,-910,35,-105,0,EURUSD,Buy,1.0878,1.0885,-26.000000,3,3500
25237298,2024.05.27 13:10:03,1.08605,2024-05-27 13:20:44,1.08561,-880,20,-60,0,EURUSD,Buy,1.0856,1.0865,-44.000000,3,2000
24830969,2024.05.24 11:23:00,1.0821,2024-05-24 11:42:05,1.08251,1419,33,-99,0,EURUSD,Buy,1.0818,1.0825,43.000000,4,3300
24395366,2024.05.23 12:05:52,1.0837,2024-05-23 12:47:44,1.08439,1587,23,-69,0,EURUSD,Buy,1.0843,1.0844,69.000000,4,2300
24064075,2024.05.22 16:36:19,1.08369,2024-05-22 16:42:56,1.08408,1248,32,-96,0,EURUSD,Buy,1.0834,1.0841,39.000000,4,3200
23915526,2024.05.22 11:51:22,1.08517,2024-05-22 12:10:34,1.08467,1850,37,-111,0,EURUSD,Sell,1.0854,1.0847,50.000000,4,3700
