Ticket ID,Open Time,Open Price,Close Time,Close Price,Profit,Lots,Commission,Swap,Symbol,Type,SL,TP,Pips,Reason,Volume
33444859,2024.06.20 13:10:53,1.07279,2024-06-20 13:54:25,1.07295,285,19,-57,0,EURUSD,Buy,1.0725,1.0729,15.000000,4,1900
32749494,2024.06.18 17:37:04,1.0752,2024-06-18 17:45:00,1.07451,-1120,14,-42,0,EURUSD,Buy,1.0745,1.0761,-80.000000,3,1400
32725766,2024.06.18 17:05:51,1.07419,2024-06-18 17:17:27,1.07497,1326,17,-51,0,EURUSD,Buy,1.0736,1.075,78.000000,4,1700
32118831,2024.06.17 15:50:05,1.07073,2024-06-17 16:00:24,1.07152,1264,16,-48,0,EURUSD,Buy,1.0702,1.0715,79.000000,4,1600
31552550,2024.06.14 13:55:39,1.06978,2024-06-14 14:30:58,1.07041,-1140,15,-45,0,EURUSD,Sell,1.0704,1.069,-76.000000,3,1500
31480096,2024.06.14 09:53:38,1.07222,2024-06-14 09:57:11,1.07267,-1092,21,-63,0,EURUSD,Sell,1.0727,1.0716,-52.000000,3,2100
